source_url	parsed_url
https://www.django-rest-framework.org	https://www.django-rest-framework.org/tutorial/2-requests-and-responses/
https://www.django-rest-framework.org	https://www.django-rest-framework.org#mkdocs_search_modal
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.8-announcement/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/topics/documenting-your-api/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.10-announcement/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.9-announcement/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.4-announcement/
https://www.django-rest-framework.org	https://bit.io/jobs?utm_source=DRF&utm_medium=sponsor&utm_campaign=DRF_sponsorship
https://www.django-rest-framework.org	https://www.django-rest-framework.org/img/favicon.ico
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.5-announcement/
https://www.django-rest-framework.org	https://pypi.org/project/Markdown/
https://www.django-rest-framework.org	https://cryptapi.io
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.12-announcement/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/tutorial/3-class-based-views/
https://www.django-rest-framework.org	https://getstream.io/?utm_source=DjangoRESTFramework&utm_medium=Webpage_Logo_Ad&utm_content=Developer&utm_campaign=DjangoRESTFramework_Jan2022_HomePage
https://www.django-rest-framework.org	https://bit.io/jobs?utm_source=DRF&amp;utm_medium=sponsor&amp;utm_campaign=DRF_sponsorship
https://www.django-rest-framework.org	https://www.django-rest-framework.org/css/default.css
https://www.django-rest-framework.org	https://pypi.org/project/uritemplate/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.2-announcement/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/topics/rest-hypermedia-hateoas/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.0-announcement/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/renderers/
https://www.django-rest-framework.org	https://fund.django-rest-framework.org/topics/funding/#our-sponsors
https://www.django-rest-framework.org	https://retool.com/?utm_source=djangorest&amp;utm_medium=sponsorship
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/exceptions/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.6-announcement/
https://www.django-rest-framework.org	http://127.0.0.1:8000/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/project-management/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/mozilla-grant/
https://www.django-rest-framework.org	https://pypi.org/project/django-filter/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/authentication/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/schemas/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/authentication/#django-oauth-toolkit
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/caching/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/viewsets/
https://www.django-rest-framework.org	https://getsentry.com/welcome/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/api-guide/status-codes/
https://www.django-rest-framework.org	https://www.django-rest-framework.org#security
https://www.django-rest-framework.org	http://www.mkdocs.org/
https://www.django-rest-framework.org	https://www.django-rest-framework.org/community/3.14-announcement/
https://blog.logrocket.com	https://blog.logrocket.com/understanding-controllers-routes-nestjs/
https://blog.logrocket.com	https://blog.logrocket.com/wp-content/uploads/2019/06/cropped-cropped-favicon-196x196-180x180.png
https://blog.logrocket.com	https://blog.logrocket.com/author/ilmaandrade/
https://blog.logrocket.com	https://blog.logrocket.com/tech-meetups/
https://blog.logrocket.com	https://blog.logrocket.com/creating-vertical-tab-layout-react-native/
https://blog.logrocket.com	https://blog.logrocket.com/author/davidomotayo/
https://blog.logrocket.com	https://blog.logrocket.com/page/3/
https://blog.logrocket.com	https://blog.logrocket.com/author/seandavis/
https://blog.logrocket.com	https://blog.logrocket.com/author/ezesunday/
https://blog.logrocket.com	https://blog.logrocket.com/author/zainsajjad/
https://blog.logrocket.com	https://blog.logrocket.com/
https://blog.logrocket.com	https://blog.logrocket.com/author/ishan-manandhar/
https://blog.logrocket.com	https://blog.logrocket.com/author/chimezieinnocent/
https://blog.logrocket.com	https://blog.logrocket.com/author/chriskernaghan/
https://blog.logrocket.com	https://blog.logrocket.com/wp-json/
https://blog.logrocket.com	https://blog.logrocket.com/author/pelumiakintokun/
https://blog.logrocket.com	https://blog.logrocket.com/vue-clamp-truncate-text-vue-apps/
https://blog.logrocket.com	https://blog.logrocket.com/author/peterekeneeze/
https://blog.logrocket.com	https://blog.logrocket.com/page/2/
https://blog.logrocket.com	https://blog.logrocket.com/product-management
https://blog.logrocket.com	https://blog.logrocket.com/ux-design/design-search-bar-intuitive-autocomplete/
https://blog.logrocket.com	https://blog.logrocket.com/r8-code-shrinking-android-guide/
https://blog.logrocket.com	https://blog.logrocket.com/creating-resume-builder-app-react-native/
https://blog.logrocket.com	https://blog.logrocket.com/wp-content/uploads/2019/06/cropped-cropped-favicon-196x196-192x192.png
https://blog.logrocket.com	https://blog.logrocket.com/debugging-backend-frontend-sidekick/
https://blog.logrocket.com	https://blog.logrocket.com/author/alexandergodwin/
https://blog.logrocket.com	https://blog.logrocket.com/visual-debugging-vitest-preview/
https://blog.logrocket.com	https://blog.logrocket.com/build-react-native-speech-to-text-dictation-app/
